0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:36 +0530] "GET /MobileProj/faces/adminlogin.xhtml HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:40 +0530] "POST /MobileProj/faces/adminlogin.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:40 +0530] "GET /MobileProj/faces/adminlogin.xhtml HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:51 +0530] "POST /MobileProj/faces/adminlogin.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:51 +0530] "GET /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:30:44 +0530] "GET /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:33:25 +0530] "GET /MobileProj/faces/index.xhtml HTTP/1.1" 200 2922
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:33:25 +0530] "GET /MobileProj/faces/login.jpg HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:33:25 +0530] "GET /MobileProj/faces/admin.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:33:25 +0530] "GET /MobileProj/faces/gray.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:33:27 +0530] "POST /MobileProj/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:33:27 +0530] "GET /MobileProj/faces/adminlogin.xhtml HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:33:31 +0530] "POST /MobileProj/faces/adminlogin.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:33:31 +0530] "GET /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 1448
